"TRE_CN","PREV_TRE_CN","PLT_CN","pltID","DIA","HT","CR","MEASYEAR","STATECD","STATUSCD","SPCD","LAT","LON","MEASYEAR_T1","SPECIES"
220337122010854,NA,30726634010478,"1_51_33_71",6,36,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337123010854,NA,30726634010478,"1_51_33_71",6.2,41,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337124010854,NA,30726634010478,"1_51_33_71",5,34,35,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337125010854,NA,30726634010478,"1_51_33_71",5.2,37,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337126010854,NA,30726634010478,"1_51_33_71",5.9,37,35,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337127010854,NA,30726634010478,"1_51_33_71",1.6,20,35,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337128010854,NA,30726634010478,"1_51_33_71",3.5,22,35,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337129010854,NA,30726634010478,"1_51_33_71",3.2,28,40,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337130010854,NA,30726634010478,"1_51_33_71",3,30,40,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337134010854,NA,30726634010478,"1_51_33_71",2.6,30,45,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337136010854,NA,30726634010478,"1_51_33_71",3.5,27,35,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337137010854,NA,30726634010478,"1_51_33_71",2.9,26,35,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337138010854,NA,30726634010478,"1_51_33_71",1.5,16,25,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337139010854,NA,30726634010478,"1_51_33_71",5.9,35,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337140010854,NA,30726634010478,"1_51_33_71",5.3,37,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337141010854,NA,30726634010478,"1_51_33_71",5.9,33,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337142010854,NA,30726634010478,"1_51_33_71",5.2,35,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337143010854,NA,30726634010478,"1_51_33_71",5.5,34,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337144010854,NA,30726634010478,"1_51_33_71",5.9,38,45,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337145010854,NA,30726634010478,"1_51_33_71",5.4,37,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337146010854,NA,30726634010478,"1_51_33_71",6.3,35,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337147010854,NA,30726634010478,"1_51_33_71",5.4,35,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337148010854,NA,30726634010478,"1_51_33_71",5.1,34,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337149010854,NA,30726634010478,"1_51_33_71",5.4,36,45,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337150010854,NA,30726634010478,"1_51_33_71",5.1,34,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337151010854,NA,30726634010478,"1_51_33_71",5.8,37,50,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337152010854,NA,30726634010478,"1_51_33_71",6.4,37,50,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337153010854,NA,30726634010478,"1_51_33_71",6.1,37,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337157010854,NA,30726634010478,"1_51_33_71",5.3,35,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337159010854,NA,30726634010478,"1_51_33_71",2.2,22,50,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337160010854,NA,30726634010478,"1_51_33_71",2.2,24,35,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337161010854,NA,30726634010478,"1_51_33_71",2.1,22,50,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337166010854,NA,30726634010478,"1_51_33_71",2.1,22,50,2005,51,1,132,37.966782,-77.246323,2005,"VP"
220337167010854,NA,30726634010478,"1_51_33_71",2.9,31,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220338234010854,NA,30627964010478,"2_51_37_61",15.3,66,55,2005,51,1,806,36.872386,-78.580418,2005,"SO"
220338235010854,NA,30627964010478,"2_51_37_61",5.1,30,25,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338236010854,NA,30627964010478,"2_51_37_61",5.6,31,25,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338237010854,NA,30627964010478,"2_51_37_61",5.1,28,25,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338238010854,NA,30627964010478,"2_51_37_61",6.1,28,25,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338239010854,NA,30627964010478,"2_51_37_61",5.3,33,30,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338240010854,NA,30627964010478,"2_51_37_61",1.3,12,15,2005,51,1,132,36.872386,-78.580418,2005,"VP"
220338241010854,NA,30627964010478,"2_51_37_61",1.1,12,20,2005,51,1,132,36.872386,-78.580418,2005,"VP"
220338242010854,NA,30627964010478,"2_51_37_61",2.2,17,25,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338244010854,NA,30627964010478,"2_51_37_61",2.4,22,35,2005,51,1,132,36.872386,-78.580418,2005,"VP"
220338248010854,NA,30627964010478,"2_51_37_61",1.1,12,40,2005,51,1,132,36.872386,-78.580418,2005,"VP"
220338249010854,NA,30627964010478,"2_51_37_61",1.9,16,30,2005,51,1,132,36.872386,-78.580418,2005,"VP"
220338250010854,NA,30627964010478,"2_51_37_61",3.5,28,20,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338251010854,NA,30627964010478,"2_51_37_61",7.3,41,20,2005,51,1,711,36.872386,-78.580418,2005,"SD"
220338252010854,NA,30627964010478,"2_51_37_61",10.2,59,50,2005,51,1,621,36.872386,-78.580418,2005,"YP"
220338253010854,NA,30627964010478,"2_51_37_61",5,40,45,2005,51,1,316,36.872386,-78.580418,2005,"RM"
220338254010854,NA,30627964010478,"2_51_37_61",5.3,29,40,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338255010854,NA,30627964010478,"2_51_37_61",5,29,35,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338256010854,NA,30627964010478,"2_51_37_61",6.4,32,35,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338257010854,NA,30627964010478,"2_51_37_61",6.1,28,40,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338258010854,NA,30627964010478,"2_51_37_61",5.7,29,35,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338262010854,NA,30627964010478,"2_51_37_61",5.5,26,30,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338264010854,NA,30627964010478,"2_51_37_61",5.2,27,30,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338265010854,NA,30627964010478,"2_51_37_61",3.5,35,45,2005,51,1,762,36.872386,-78.580418,2005,"BC"
220338266010854,NA,30627964010478,"2_51_37_61",3.5,36,45,2005,51,1,762,36.872386,-78.580418,2005,"BC"
220338270010854,NA,30627964010478,"2_51_37_61",2.5,25,20,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338272010854,NA,30627964010478,"2_51_37_61",5.4,24,60,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338273010854,NA,30627964010478,"2_51_37_61",6,22,55,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338274010854,NA,30627964010478,"2_51_37_61",5.1,26,55,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338275010854,NA,30627964010478,"2_51_37_61",5.1,26,60,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338276010854,NA,30627964010478,"2_51_37_61",5.6,28,50,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338277010854,NA,30627964010478,"2_51_37_61",5,27,55,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338278010854,NA,30627964010478,"2_51_37_61",6.6,27,50,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338279010854,NA,30627964010478,"2_51_37_61",5.8,22,60,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338280010854,NA,30627964010478,"2_51_37_61",5.6,24,50,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338281010854,NA,30627964010478,"2_51_37_61",6,26,60,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338282010854,NA,30627964010478,"2_51_37_61",6.4,27,50,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338283010854,NA,30627964010478,"2_51_37_61",5.7,25,50,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220338284010854,NA,30627964010478,"2_51_37_61",4.2,28,40,2005,51,1,131,36.872386,-78.580418,2005,"LP"
220397138010854,220154238010854,79200578010478,"1_51_181_10",4.2,31,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397139010854,220154239010854,79200578010478,"1_51_181_10",7.6,35,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397140010854,220154240010854,79200578010478,"1_51_181_10",7.7,37,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397141010854,NA,79200578010478,"1_51_181_10",7.9,41,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397142010854,NA,79200578010478,"1_51_181_10",7.3,38,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397143010854,NA,79200578010478,"1_51_181_10",8.8,38,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397144010854,NA,79200578010478,"1_51_181_10",6.5,38,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397145010854,NA,79200578010478,"1_51_181_10",7.1,37,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397146010854,NA,79200578010478,"1_51_181_10",5.8,32,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397147010854,NA,79200578010478,"1_51_181_10",6.1,35,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397148010854,NA,79200578010478,"1_51_181_10",6.6,32,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397149010854,NA,79200578010478,"1_51_181_10",6.2,36,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397150010854,NA,79200578010478,"1_51_181_10",6.9,37,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397151010854,NA,79200578010478,"1_51_181_10",7.2,41,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397152010854,NA,79200578010478,"1_51_181_10",8.1,35,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397153010854,NA,79200578010478,"1_51_181_10",1.7,22,35,2005,51,1,812,37.104961,-76.817725,2005,"SK"
220397154010854,NA,79200578010478,"1_51_181_10",1.3,24,80,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397155010854,NA,79200578010478,"1_51_181_10",3.8,21,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397156010854,220154241010854,79200578010478,"1_51_181_10",4.2,30,NA,2005,51,0,621,37.104961,-76.817725,2005,"YP"
220397157010854,220154242010854,79200578010478,"1_51_181_10",5.9,41,40,2005,51,1,621,37.104961,-76.817725,2005,"YP"
220397158010854,220154243010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,621,37.104961,-76.817725,2005,"YP"
220397159010854,220154244010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,621,37.104961,-76.817725,2005,"YP"
220397160010854,NA,79200578010478,"1_51_181_10",5.1,42,25,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397161010854,NA,79200578010478,"1_51_181_10",5.1,41,30,2005,51,1,621,37.104961,-76.817725,2005,"YP"
220397162010854,NA,79200578010478,"1_51_181_10",7.1,41,45,2005,51,1,621,37.104961,-76.817725,2005,"YP"
220397163010854,NA,79200578010478,"1_51_181_10",6.5,39,50,2005,51,1,621,37.104961,-76.817725,2005,"YP"
220397164010854,NA,79200578010478,"1_51_181_10",4.9,30,50,2005,51,1,621,37.104961,-76.817725,2005,"YP"
220397165010854,NA,79200578010478,"1_51_181_10",3.4,39,30,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397166010854,NA,79200578010478,"1_51_181_10",1.1,9,90,2005,51,1,591,37.104961,-76.817725,2005,"HY"
